location,año,total_vaccinations_per_hundred
China,2021,169.0
China,2021,169.45
China,2021,169.92
China,2021,170.47
China,2021,170.93
China,2021,171.32
China,2021,171.78
China,2021,172.29
China,2021,172.83
China,2021,173.43
China,2021,174.13
China,2021,174.77
China,2021,175.32
China,2021,175.89
China,2021,176.48
China,2021,177.04
China,2021,177.63
China,2021,178.37
China,2021,179.05
China,2021,179.55
China,2021,180.07
China,2021,180.58
China,2021,181.13
China,2021,181.77
China,2021,182.53
China,2021,183.2
China,2021,183.83
China,2021,184.46
China,2021,185.15
China,2021,185.89
China,2021,186.68
China,2021,187.51
China,2021,188.25
China,2021,189.02
China,2021,189.82
China,2021,190.72
China,2021,191.65
China,2021,192.57
China,2021,193.43
China,2021,194.23
China,2021,195.1
China,2021,196.07
China,2021,197.08
China,2021,198.01
China,2021,198.85
China,2022,199.26
China,2022,199.73
China,2022,200.24
China,2022,200.83
China,2022,201.42
China,2022,201.98
China,2022,202.52
China,2022,202.97
China,2022,203.35
China,2022,203.78
China,2022,204.24
China,2022,204.66
China,2022,205.04
China,2022,205.41
China,2022,205.73
China,2022,206.02
China,2022,206.34
China,2022,206.69
China,2022,207.02
China,2022,207.32
China,2022,207.64
China,2022,207.9
China,2022,208.16
China,2022,208.53
China,2022,208.9
China,2022,209.28
China,2022,209.66
China,2022,209.99
China,2022,210.25
China,2022,210.41
China,2022,210.43
China,2022,210.44
China,2022,210.46
China,2022,210.51
China,2022,210.6
China,2022,210.72
China,2022,210.88
China,2022,211.14
China,2022,211.53
China,2022,211.98
China,2022,212.47
China,2022,212.97
China,2022,213.37
China,2022,213.67
China,2022,214.07
China,2022,214.39
China,2022,214.84
China,2022,215.28
China,2022,215.71
China,2022,216.06
China,2022,216.34
China,2022,216.73
China,2022,217.11
China,2022,217.53
China,2022,217.99
China,2022,218.43
China,2022,218.79
China,2022,219.1
China,2022,219.5
China,2022,219.91
China,2022,220.32
China,2022,220.71
China,2022,221.08
China,2022,221.4
China,2022,221.66
China,2022,222.0
China,2022,222.31
China,2022,222.67
China,2022,223.02
China,2022,223.39
China,2022,223.68
China,2022,223.95
China,2022,224.3
China,2022,224.68
China,2022,225.06
China,2022,225.39
China,2022,225.73
China,2022,226.03
China,2022,226.27
China,2022,226.55
China,2022,226.85
China,2022,227.17
China,2022,227.48
China,2022,227.76
China,2022,228.03
China,2022,228.28
China,2022,228.56
China,2022,228.85
China,2022,229.13
China,2022,229.39
China,2022,229.62
China,2022,229.81
China,2022,229.98
China,2022,230.14
China,2022,230.28
China,2022,230.48
China,2022,230.7
